0.666667, 0.5, 0
0.683333, 0.5075, 0.19
0.7, 0.515, 0.36
0.716667, 0.5225, 0.51
0.733333, 0.53, 0.64
0.75, 0.5375, 0.75
0.766667, 0.545, 0.84
0.783333, 0.5525, 0.91
0.8, 0.56, 0.96
0.816667, 0.5675, 0.99
0.833333, 0.575, 1
0.85, 0.5825, 0.99
0.866667, 0.59, 0.96
0.883333, 0.5975, 0.91
0.9, 0.605, 0.84
0.916667, 0.6125, 0.75
0.933333, 0.62, 0.64
0.95, 0.6275, 0.51
0.966667, 0.635, 0.36
0.983333, 0.6425, 0.19
1, 0.65, 0
0.666667, 0.5075, 0
0.683333, 0.515, 0.18
0.7, 0.5225, 0.34
0.716667, 0.53, 0.48
0.733333, 0.5375, 0.6
0.75, 0.545, 0.7
0.766667, 0.5525, 0.78
0.783333, 0.56, 0.84
0.8, 0.5675, 0.88
0.816667, 0.575, 0.9
0.833333, 0.5825, 0.9
0.85, 0.59, 0.88
0.866667, 0.5975, 0.84
0.883333, 0.605, 0.78
0.9, 0.6125, 0.7
0.916667, 0.62, 0.6
0.933333, 0.6275, 0.48
0.95, 0.635, 0.34
0.966667, 0.6425, 0.18
0.983333, 0.65, 0
0.666667, 0.515, 0
0.683333, 0.5225, 0.17
0.7, 0.53, 0.32
0.716667, 0.5375, 0.45
0.733333, 0.545, 0.56
0.75, 0.5525, 0.65
0.766667, 0.56, 0.72
0.783333, 0.5675, 0.77
0.8, 0.575, 0.8
0.816667, 0.5825, 0.81
0.833333, 0.59, 0.8
0.85, 0.5975, 0.77
0.866667, 0.605, 0.72
0.883333, 0.6125, 0.65
0.9, 0.62, 0.56
0.916667, 0.6275, 0.45
0.933333, 0.635, 0.32
0.95, 0.6425, 0.17
0.966667, 0.65, 0
0.666667, 0.5225, 0
0.683333, 0.53, 0.16
0.7, 0.5375, 0.3
0.716667, 0.545, 0.42
0.733333, 0.5525, 0.52
0.75, 0.56, 0.6
0.766667, 0.5675, 0.66
0.783333, 0.575, 0.7
0.8, 0.5825, 0.72
0.816667, 0.59, 0.72
0.833333, 0.5975, 0.7
0.85, 0.605, 0.66
0.866667, 0.6125, 0.6
0.883333, 0.62, 0.52
0.9, 0.6275, 0.42
0.916667, 0.635, 0.3
0.933333, 0.6425, 0.16
0.95, 0.65, 0
0.666667, 0.53, 0
0.683333, 0.5375, 0.15
0.7, 0.545, 0.28
0.716667, 0.5525, 0.39
0.733333, 0.56, 0.48
0.75, 0.5675, 0.55
0.766667, 0.575, 0.6
0.783333, 0.5825, 0.63
0.8, 0.59, 0.64
0.816667, 0.5975, 0.63
0.833333, 0.605, 0.6
0.85, 0.6125, 0.55
0.866667, 0.62, 0.48
0.883333, 0.6275, 0.39
0.9, 0.635, 0.28
0.916667, 0.6425, 0.15
0.933333, 0.65, 0
0.666667, 0.5375, 0
0.683333, 0.545, 0.14
0.7, 0.5525, 0.26
0.716667, 0.56, 0.36
0.733333, 0.5675, 0.44
0.75, 0.575, 0.5
0.766667, 0.5825, 0.54
0.783333, 0.59, 0.56
0.8, 0.5975, 0.56
0.816667, 0.605, 0.54
0.833333, 0.6125, 0.5
0.85, 0.62, 0.44
0.866667, 0.6275, 0.36
0.883333, 0.635, 0.26
0.9, 0.6425, 0.14
0.916667, 0.65, 0
0.666667, 0.545, 0
0.683333, 0.5525, 0.13
0.7, 0.56, 0.24
0.716667, 0.5675, 0.33
0.733333, 0.575, 0.4
0.75, 0.5825, 0.45
0.766667, 0.59, 0.48
0.783333, 0.5975, 0.49
0.8, 0.605, 0.48
0.816667, 0.6125, 0.45
0.833333, 0.62, 0.4
0.85, 0.6275, 0.33
0.866667, 0.635, 0.24
0.883333, 0.6425, 0.13
0.9, 0.65, 0
0.666667, 0.5525, 0
0.683333, 0.56, 0.12
0.7, 0.5675, 0.22
0.716667, 0.575, 0.3
0.733333, 0.5825, 0.36
0.75, 0.59, 0.4
0.766667, 0.5975, 0.42
0.783333, 0.605, 0.42
0.8, 0.6125, 0.4
0.816667, 0.62, 0.36
0.833333, 0.6275, 0.3
0.85, 0.635, 0.22
0.866667, 0.6425, 0.12
0.883333, 0.65, 0
0.666667, 0.56, 0
0.683333, 0.5675, 0.11
0.7, 0.575, 0.2
0.716667, 0.5825, 0.27
0.733333, 0.59, 0.32
0.75, 0.5975, 0.35
0.766667, 0.605, 0.36
0.783333, 0.6125, 0.35
0.8, 0.62, 0.32
0.816667, 0.6275, 0.27
0.833333, 0.635, 0.2
0.85, 0.6425, 0.11
0.866667, 0.65, 0
0.666667, 0.5675, 0
0.683333, 0.575, 0.1
0.7, 0.5825, 0.18
0.716667, 0.59, 0.24
0.733333, 0.5975, 0.28
0.75, 0.605, 0.3
0.766667, 0.6125, 0.3
0.783333, 0.62, 0.28
0.8, 0.6275, 0.24
0.816667, 0.635, 0.18
0.833333, 0.6425, 0.1
0.85, 0.65, 0
0.666667, 0.575, 0
0.683333, 0.5825, 0.09
0.7, 0.59, 0.16
0.716667, 0.5975, 0.21
0.733333, 0.605, 0.24
0.75, 0.6125, 0.25
0.766667, 0.62, 0.24
0.783333, 0.6275, 0.21
0.8, 0.635, 0.16
0.816667, 0.6425, 0.09
0.833333, 0.65, 0
0.666667, 0.5825, 0
0.683333, 0.59, 0.08
0.7, 0.5975, 0.14
0.716667, 0.605, 0.18
0.733333, 0.6125, 0.2
0.75, 0.62, 0.2
0.766667, 0.6275, 0.18
0.783333, 0.635, 0.14
0.8, 0.6425, 0.08
0.816667, 0.65, 0
0.666667, 0.59, 0
0.683333, 0.5975, 0.07
0.7, 0.605, 0.12
0.716667, 0.6125, 0.15
0.733333, 0.62, 0.16
0.75, 0.6275, 0.15
0.766667, 0.635, 0.12
0.783333, 0.6425, 0.07
0.8, 0.65, 0
0.666667, 0.5975, 0
0.683333, 0.605, 0.06
0.7, 0.6125, 0.1
0.716667, 0.62, 0.12
0.733333, 0.6275, 0.12
0.75, 0.635, 0.1
0.766667, 0.6425, 0.06
0.783333, 0.65, 0
0.666667, 0.605, 0
0.683333, 0.6125, 0.05
0.7, 0.62, 0.08
0.716667, 0.6275, 0.09
0.733333, 0.635, 0.08
0.75, 0.6425, 0.05
0.766667, 0.65, 0
0.666667, 0.6125, 0
0.683333, 0.62, 0.04
0.7, 0.6275, 0.06
0.716667, 0.635, 0.06
0.733333, 0.6425, 0.04
0.75, 0.65, 0
0.666667, 0.62, 0
0.683333, 0.6275, 0.03
0.7, 0.635, 0.04
0.716667, 0.6425, 0.03
0.733333, 0.65, 0
0.666667, 0.6275, 0
0.683333, 0.635, 0.02
0.7, 0.6425, 0.02
0.716667, 0.65, 0
0.666667, 0.635, 0
0.683333, 0.6425, 0.01
0.7, 0.65, 0
0.666667, 0.6425, 0
0.683333, 0.65, 0
0.666667, 0.65, 0
